genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly03,10.0,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly03,11.0,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly03,12.0,0.8571428571428571,7,0.7142857142857142,0.7142857142857142,after food
CantonSMH,0-125M_24hr,fly03,13.0,0.6129032258064516,62,0.2258064516129032,0.2258064516129032,after food
CantonSMH,0-125M_24hr,fly03,14.0,0.5714285714285714,14,0.1428571428571428,0.1428571428571428,after food
CantonSMH,0-125M_24hr,fly03,15.0,0.635593220338983,118,0.271186440677966,0.271186440677966,after food
CantonSMH,0-125M_24hr,fly03,17.0,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly03,18.0,0.625,16,0.25,0.25,after food
CantonSMH,0-125M_24hr,fly03,19.0,0.7058823529411765,17,0.411764705882353,0.411764705882353,after food
CantonSMH,0-125M_24hr,fly03,20.0,0.55,20,0.1,0.1,after food
CantonSMH,0-125M_24hr,fly03,21.0,0.5384615384615384,13,0.0769230769230768,0.0769230769230768,after food
CantonSMH,0-125M_24hr,fly03,22.0,0.625,16,0.25,0.25,after food
CantonSMH,0-125M_24hr,fly03,23.0,0.6656976744186046,344,0.3313953488372092,0.3313953488372092,after food
CantonSMH,0-125M_24hr,fly03,25.0,0.6819526627218935,676,0.3639053254437869,0.3639053254437869,after food
CantonSMH,0-125M_24hr,fly03,26.0,0.65625,96,0.3125,0.3125,after food
CantonSMH,0-125M_24hr,fly03,27.0,0.6666666666666666,6,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly03,28.0,0.676056338028169,71,0.352112676056338,0.352112676056338,after food
CantonSMH,0-125M_24hr,fly04,1.0,0.4054054054054054,37,-0.1891891891891891,0.1891891891891891,after food
CantonSMH,0-125M_24hr,fly04,3.0,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly04,4.0,0.6,5,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly04,5.0,0.3157894736842105,19,-0.368421052631579,0.368421052631579,after food
CantonSMH,0-125M_24hr,fly04,6.0,0.2666666666666666,15,-0.4666666666666667,0.4666666666666667,after food
CantonSMH,0-125M_24hr,fly04,7.0,0.5714285714285714,21,0.1428571428571428,0.1428571428571428,after food
CantonSMH,0-125M_24hr,fly04,8.0,0.5789473684210527,19,0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly04,9.0,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly04,10.0,0.453125,64,-0.09375,0.09375,after food
CantonSMH,0-125M_24hr,fly04,12.0,0.4761904761904761,21,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly04,13.0,0.6470588235294118,17,0.2941176470588236,0.2941176470588236,after food
