,condition,flyid,loopN,loop_length,distance_patch_0,fed,normFed,deltaCFF,pathLengthDistanceRatio,maxDistBin_uneven,maxDistBin,deltaCFFBin,loopN_bin,loopN_binShort,loopN_binShort_num
10,sorbitol,fly02,11,40.32269295733687,12.125895679914382,28.06470200000032,0.021,0.008702863360098831,3.3253372799609617,"[12, 15)","[12, 16)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
11,sorbitol,fly02,12,65.25233595442629,9.988636008039098,38.763952999999745,0.029,0.03065735739777961,6.5326573019488965,"[9, 12)","[8, 12)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
12,sorbitol,fly02,13,3.767080395100037,3.343754285313151,44.89685699999917,0.033,0.015440570038747492,1.1266020388059825,"[3, 6)","[0, 4)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
13,sorbitol,fly02,14,15.360775457148126,6.323480080625942,44.93018799999917,0.033,-0.0014859593541813598,2.429164836655516,"[6, 9)","[4, 8)","[-0.1, 0.0)","[13, 17)","[13, 16)",4.0
14,sorbitol,fly02,15,1.9266006969841107,2.875272427126338,45.196835999999145,0.034,0.002350900866793959,0.6700584886523717,"[0, 3)","[0, 4)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
15,sorbitol,fly02,16,57.53527514495106,11.997571595636797,45.36349099999913,0.034,0.0006743719061606535,4.795576728700259,"[9, 12)","[8, 12)","[0.0, 0.1)","[13, 17)","[16, 19)",5.0
16,sorbitol,fly02,17,45.49576537791352,10.738063548160808,54.89615699999824,0.041,0.02274752981747949,4.236868702989371,"[9, 12)","[8, 12)","[0.0, 0.1)","[17, 21)","[16, 19)",5.0
17,sorbitol,fly02,18,4.662166850990347,3.4259450560298315,55.162804999998215,0.041,-0.00039416449929874364,1.3608411036203585,"[3, 6)","[0, 4)","[-0.1, 0.0)","[17, 21)","[16, 19)",5.0
18,sorbitol,fly02,19,47.53727797473307,14.60507450101959,58.46257399999791,0.044,0.00499615596805339,3.2548466610981315,"[12, 15)","[12, 16)","[0.0, 0.1)","[17, 21)","[19, 22)",6.0
19,sorbitol,fly02,20,54.64402324112167,13.972994204352132,59.42917299999782,0.044,0.006525217387802984,3.9106881776349582,"[12, 15)","[12, 16)","[0.0, 0.1)","[17, 21)","[19, 22)",6.0
